대사	라벨
날씨는 춥고 행복한 일도 없지만 그래도우리모두 화이팅 입니다.	1
백주부님 응원도 하구요	1
나도 외국에서 응원할게	1
게다가 위트도 있으시고 편안한 인상 너무 좋습니다	1
형님의 생일을 진심으로 추카추카 합니다....	1
팬클럽창단식해염!!!!!!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋ	1
어색하면서도  건방지지만  병풍같고  항동이  형돈형님 정말 축하드립니다  ㅋㅋ	1
이번에 양준혁선수대신 서용빈선수를1루수로 기용하신게 너무 잘하셨네요.	1
너무반갑습니다.	1
움직이는 물체를 100% 잡아내니야간에 가게에 혼자 있어서 무섭지가 않아요!	1
일단 다른말이 필요 없을듯...형돈님 수고하셧습니다.!!	1
기분 좋은 맘으로 요리를 하면 맛도 업!	1
용수 오빠가 선수의 위치에서 떠나는 그날까지~	1
늘웃음을주는 도니님 생일을진심으로 축하합니다!~~^^♥♥♥	1
연아양은 마음도 넓고 굳세니 잘 할거임^^	1
벌써 9월 5일이라는 시간이 다가왔네요!	1
오늘 하루도 수고하셨어요!	1
다른 사람들이 오빠보고 다 진상이라고 해도  전  오빠를 좋아할꺼에요	1
그럼 오빠 오늘 하루도 행쇼~♥	1
예디 누나 생일 축하드려요	1
항상 응원합니다♥♥♥	1
내일과 또 제가 가는 내일모레 팬미팅도 멤버들과 캐럿들과 함께 즐거운 추억 많이 만들어요~~	1
전 개인적으로 수록곡중에 웃음꽃이라는 노래가 참 좋은데 오늘 뮤뱅에서 이렇게 들으니까 또 기분이 새롭네요!	1
세븐틴 보컬팀리더, 천재작곡가 울 지훈 생일축하해요	1
화이팅 김연아 선수♥ 항상 당신을 응원합니다~	1
요즘 부쩍.^-^	1
진짜 많이 기다렸던 공카가 드디어 열렸어요	1
카페에서 몇 번 뵈었죠?	1
행님이 열애설이 진짜라면 축하드리구요..	1
오빠들덕에 재미있는 크리스마스이브가 이렇게 마무리되서 기쁘고 오빠들도 메리크리스마스!!!	1
오늘은 무 한도전하는날~	1
2016년 마무리 이쁘게하고 2017년은 또 새롭게 같이 시작해봐요??	1
음식도 웃으면서 기분좋게 만들어야 더 맛있죠?	1
캐럿 같이 가요	1
백주부님 멋지세요^^	1
정말 재미있어요~^^	1
저두 재현오빠 무지 좋아해여 ^^---------------------	1
우하하하하하하그럼..	1
연아양 본인이 만족하고 행복해하니 팬 입장으로서도 뿌듯하네요.	1
정말 멋졌어요!	1
?? 태어나줘서 너무 고맙고 세븐틴이어서 너무 고마워요	1
너무도 이쁘고 멋진 미소이심	1
다음 시즌때는 도시락 싸들고 응원 갈께요	1
연아 화이팅 대한민국 만세!!!	1
요즘은 스포츠 뉴스를 보면 넘 기분 좋은거 있죠?	1
최우수상은 커녕 우수상도 못받으셔서 mbc 뭐 이런데가 다 있나 했더니대상을 받으실줄이야.	1
다시한번 생일축하하고.	1
신바람 나는 LG!!!	1
400일 정말 축하해!!	1
하지만 괜찮아요!!!	1
정말 진심으로축하드려요♥♥♥♥♥	1
그리고 발렌타인데이♡ ㅎㅎ	1
노래정말좋고 수고했어요!!!!	1
암튼 올시즌 첫 홈런 축하드립니다~~~	1
다음 시즌땐 꼬~~	1
게다가 곧있으면 생일!!	1
우히히.......  어제 무한도전 너무 재밌게 봤어요	1
내일 시험끝나니까 내일 편지는 더 길게 쓸게요!	1
그리고 열심히 노래들어서 꼭 1등 시켜줄게요ㅎㅎ	1
홍홍홍홍  웰케 잘생겨졌냐면서..	1
아쉽지만 축하해요	1
하하하결혼도 축하하고요!!	1
안뇽~오늘 더쇼 1위 진짜진짜 축하하고!	1
생일축하해용ㅎ	1
한시간 동안 재밌게 잘 볼게요	1
오빠 생일 축하해용!!!	1
잊지 못할 크리스마스 선물 줘서 진짜 고맙고 앞으로도 절대 잊지 못할 것 같아요ㅎㅎ	1
호날두 이제 확실히 폼 떨어진줄 알았더니 귀신같이 다시 골머신됨 ㅋㅋㅋㅋ	1
기자 싱글벙글 곧 댓글 1500개	1
유명짤하나 탄생했네 ㅋㅋㅋ	1
역쉬 커쇼다.~~^^	1
축하합니다. 행복하세요^^	1
나이스4명깔았다	1
이 젊은이들이 있기에.... 아직은 희망을 가져봅니다....	1
엘지져서 기분좋은사람??	1
김연경 화이팅!!!	1
갑돌이랑 갑순이덕에 너무 재미있었음 	1
오늘 촬영하는거 봤는데 공유 존잘	1
ㅋㅋㅋ오타니봐라 얼마나억울하냐	1
유시진대위 또 이걸 해냅니다~^^	1
축하해요♥♥♥♥♥♥	1
올해는 케베스의 해였네 누굴줘도 이상하지 않아. 다 인정이야	1
캬!! 장관이로고 자연의 아름다움이 느껴지네	1
이제시작이다!!	1
오 엠비씨 자네 왔는가 ㅋ	1
연예인들 전부이러면 악플러들 많이 사라질텐데 잘햇다	1
기상케스터 머리 보니 날씨 짐작이 갑니다^^	1
여기 댓글도 아주 난리났네 이병헌 마스터 대박나자!!	1
인물도곱고 맘씨도 아름다바라~~♡♡♡	1
유재석 최고~~^^	1
너 진짜 웃겨 인정 이제야 재능을 살리는듯	1
김세정 진짜 이쁘다	1
SES 노래는 지금들어도 정말 좋은데 다시 재결합을 한다니까 너무 기대되네요!	1
광희가 잘되서 기분좋네!	1
딘딘이 너무 귀엽고 웃김 ㅋㅋㅋ	1
태연이랑 결혼하고 싶어요	1
어머님들 표정이 진짜 재밌었음. 진짜 리얼 표정 ㅎㅎㅎ	1
오락가락이 붙었다!!!!!ㅋㅋㅋ	1
우리나라는 양호한거네 위로가 된다	1
이런 저질프로가 폐지되서 정말행복합니다. 대한민국만세	1
진짜 고생했다 받을만해씀 ㅊㅋㅊㅋ	1
정말 대단하고 멋지십니다~♥	1
후반에 얀센뻬고 손흥민 중앙이동이 신의 한수였다	1
나도 친구분처럼 김영철 씨가 가장 웃기다고 생각했었는데 지금은 정말 멋있는 개그맨이 된듯	1
재석 삼촌 축하해요!!♡	1
아는형님 진짜 개재밋음ㅋㅋ	1
언제봐도 늘 멋쪄요~♡	1
맨유 : 아스날 경기가 기대된다ㅎㅎ	1
18년뒤면그래도 살아잇네 다행	1
수지 힘내세요!!♥♥♥	1
내고향 울진!	1
더울땐 사무실이 짱....	1
고경표 흥해랏^^~~~~	1
풍악을울려라~~!!	1
오호호호 ! 내일 하는군욥!	1
육성재 화이팅!!! ㅠㅅㅠ	1
최유정 김도연 축하합니다!!	1
요즘 배우중 조보아 참 이쁘던데~~^^	1
신범죄구단 엔씨 ㅋㅋㅋㅋㅋㅋㅋㅋ 축하한다	1
정말 국내에선 박병호나 손아섭이라는 톱타자보다 못했으나 국제경기에 가면 상당히 강했나보네~ 내년시즌 김현수 기대해도 좋다.	1
미안하다 우리가 승리다	1
구르미에서 연기 너무 잘하셔서 호감!!	1
연기는 연기고 사생활은 사생활 일 뿐~~축하!	1
오 드디어 ㅋㅋ 열일하는 나피디 ㅋㅋ	1
축하드려요 여자친구	1
대전 날씨 매우 맑음.	1
똑똑하다 그랬는데... ㅊㅋㅊㅋ	1
기부천사 스크!!!	1
어제 너무 재밌게봤어요!오늘도 기대합니다!	1
머머리아재들 희소식 노벨상감	1
성노을, 화이팅!!!	1
조정석. . . 연기 느무 잘해염~!!	1
조기에 빠른 대처를 하신 기장 및 승무원 그리고 지시에 따라주신 승객까지.. 모두 잘하셨습니다!	1
류제국 오늘 지렸다...ㅠㅠㅠㅠㅠㅠ	1
보면서 넘 흐뭇함~~	1
너무 잘하는데 더더 잘되라~!ㅎ	1
축하드려요~~!	1
흥해라 흥해라 손세이셔널~~	1
오늘 12시에 형돈이와대준이 피처링 아이유 음원나와요^^많이들어주세요~	1
좋아요!!!!맨날 들어야지~~~~~♥?힘Him!!	1
멋지다 추진력~~!!	1
김사부님 서정이 수술찬성할때 정말 리액션 귀여웠음	1
얼굴부터 마음까지 예쁜 우리 지원언니! 응원할게요!!!	1
연말에 박보검 배우 볼수 있다 ...조으당~~~	1
기아가 영입할듯?35년 기아팬이??	1
유느님 대상 축하드립니다	1
무한상사 야유회때 정말 웃겼는데.. 아쉽네요	1
이나이에 이정도 활약하는거 보면 전성기때 epl갔으면 씹어 먹었을듯.	1
ㅋㅋㅋㅋ난 코빅에서부터 양세바리 좋았어 ㅋㅋ 이대로 고정까지 가라 ㅋㅋ근데 양세형 안티가 별로 없네 ㅋㅋ 머리스타일이 초딩가틈 ㅋㅋㅋ 까불까불한 초딩 ㅋㅋ	1
나이스샷 ~~~~~	1
이태원 바에서 예은봤는데 성격엄청좋아보임 ㅎㅎ 물론 얼굴도 예쁨 행쇼	1
공민왕 후손인가 ㅋㅋ	1
이준기 연기인정하죠 매력적이고	1
너무도착하고 천사같은 박보검 화이팅	1
좋은 관계 잘 유지하세요. 결혼까지 가면 좋지만 ...^^	1
차우찬가지고 쥐레발은 좀 너무하지않냐 ㅋㅋㅋㅋㅋㅋㅋ	1
어딜가나 박자 놓치는 고문관 한둘은 나오는데 오늘 집회 촛불 소등 완벽했음.	1
물 들어오니까 제트엔진 달았네	1
여전히 두산이 최강이네 이리보고 저리봐도 4명이 다 잘해 ㅎㅎ	1
핸드폰 인증보다 아이핀인증이 아주 쬐금 더 편하더라.	1
임신이면 누가 뭐라하냐? 둘다성인인데 축하할일이지!!	1
태현아 아직도 안믿기지만 항상응원할게♡♡♡	1
연기 너무 잘해요~ 루이가 너무 보고싶어요!	1
수상축하드립니다~~	1
리얼 기대기대 믿고 봅니다 ♡	1
준영아! 앞으로 많이 행복하자	1
특검잘하고있다!!!	1
기아가 승리한다.ㅇㅇ	1
멋지당 랄프 화이팅 오래 살아랑	1
오늘도 남의 불행에 저절로 웃음이 나옵니다^^	1
저거다. 저게 바로 내가 기다리던 내 햄버거야	1
나나이쁘다 ㅠㅡㅠ 잘되서 흥하길!!	1
이거 보면 즐라탄은 진짜 자기관리가 대단하다 최고의 선수다움	1
추워서 조으다	1
림아 축하해♡♡♡!!	1
이 기사 개꾸르잼	1
ㅋㅋㅋㅋㅋㅋㅋ졸 우낀다 ㅎ 주사 ㅋㅋㅋ	1
어려워지기 전에 기능 통과하고 쉬워진 도로주행 통과... 후진따위 안하고 통과. 앙 개꿀띠	1
너무 몰입되서 오랜만에 좋은 드라마 봅니다~~연기들 너무잘하세용	1
노래가좋아	1
멋진 베네딕트~~!!	1
6만원짜리중고자전거사서 3달째 출퇴근하는데배도들어가고 자전거값은 뽑음ㅋ	1
더블유가 너무 신선하고재밌어서...	1
서영주 배우 응원하고 기대합니다!	1
진짜 골키퍼 하드케리로 승점5점 땄네 ㅋㅋ	1
우리 집은 xp 아직도 잘 쓰는 중ㅋㅋ 사이트 안 되는 건 크롬 써서 하고	1
봐라 결국 돌아오잔니ㅋㅋㅋㅋㅋ	1
정유라 최순실님 감사합니다	1
무조건 1번을외치던 우리 아무지도 이제슬슬 닭욕하기시작ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
폭스바겐같은 삼류기업이랑은 as나 서비스의 질이 틀리구먼 허허..	1
무조건 본다~~~^^라미란 파이팅~-ㅎㅎ	1
예전에 술마시고 냉장고에 볼일본 사연 웃겼는데	1
대놓고 ppl이 어색하지 않은 요상한 드라마 ㅋㅋㅋㅋㅋ	1
축하해요 소연언니!!	1
응원합니다!!!! 꼭 대상받으시길♥	1
???첼시가 이길텐데	1
믿고보는 팀 버튼 감독님 빨리 보고싶다	1
기대기대~~왕기대~	1
역쉬 실력자들 !!!	1
오랜만에 시원하다~	1
완전 귀요미.	1
무도는 레전드만 내보내도 6개월은 떼울 수 있음ㅋㅋㅋ	1
멋쪄 멋쪄 다 멋쪄	1
고영태 멋지다 금메달감이다	1
악마의 연기 선곡은 진짜 신의 한수, 중간에 양싸 흉내내는건 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
이재용이 구속안된게 내가 기분이 좋네 ~^^	1
박보검 구르미 더더더 흥해라 ㅊㅋㅊㅋ	1
축하드려용^^♡♡	1
사이다 다	1
속이 다 시원합니다	1
신한슬기자님 예쁘세요	1
역시 이대호~ 알아서 잘해주네요~~ 쭉쭉 갑시다ㅎ	1
티벳가기 편하겠네	1
오 그렇네 재밌었던 영화	1
막내야! 돌아와서 반가웠어~~ 앞으로 더 분발하자.	1
날씨 좋~다~!!!!	1
김현수화이팅!!!항상응원할게요!!!!!!	1
기사를 잘 쓰시네요 ㅎㅎ 구르미 본방사수~	1
역시 명불허전 박효갓	1
족발 예약한 시간 됐구나~~	1
잼나겠어요~ 민경훈도 화이팅	1
진짜.눈 깜빡이는 시간도 아까운 드라마~~~	1
차태현 나오니 더욱 재미나겠네요..기다려집니다	1
회복하셨다니 다행입니다. 응원합니다!	1
믿고보는배우이종석~~본방사수	1
비가 촉촉히 와서 좋네요	1
프로야구발전을 위해서 1라운드만 하기로 했습니다!!	1
잘생겼다. 귀엽고 섹시하고 매력이 많아	1
대단하다 대단해 .... 곡성근	1
크면 좋은것이다..아빠를 자랑스럽게 생각할수 있어~ㅋ	1
진짜 재밌었다.마지막까지	1
삿포로 맥주 너무맛있다ㅜㅡㅜ	1
축하한다 축하한다 멋지다 멋지다	1
안 본 사이 더 예뻐 지셨어요.	1
여태본 의학드라마중 단연최고~	1
미쳐 활동때 배추머리는 대박 카리스마개쩔	1
에릭 대박ㅠ못하는게 뭐예요?	1
돌아가면서 뽀뽀 해주고 싶다 ♡	1
코라도 마셔보고 저 영감 땡잡았네	1
홈런에 무너져버렸네엔씨축하드려요	1
엘지 화이팅입니다!!	1
저희도 딩크형님 오실 때마다 반갑고 좋습니다.	1
라이브 듣고 완전 소름. 유스케 기대된당!!!	1
예능이 무한도전 이전과 이후로 나뉘듯 드라마도 도깨비 이전과 이후로 나뉠듯 정말 기똥찬 드라마 나왔네요^^	1
노래는 시바가 훨좋다.. 그리고..귀엽고좋다.. 활동을 몇번만 더하면 역주행한다	1
X맨 부활인가요?	1
존재감 쩔었음ㅎㅎㅎ	1
김종민씨 진심으로 축하드려요~ ㅎㅎ1박2일~대박나세요 ㅎㅎㅎ	1
야식은 치킨이 진리군 ㅋ	1
완전 웃김 재밌서 스트레스빵	1
두 분 축하드려요! 나도 결혼하고 싶다 ㅜㅜ	1
루니가 축구 잘해.	1
날씨관심없고 기상캐스터 보러 온당 데헿	1
항상 행복하세요 좋은 곡으로 만나요~	1
우연적으로 파여진 흔적가지고 망상이 심한사람들보면 참 ,ㅋㅋ 개울가에 굴러다니는 돌도 잘찾아보슈 재미난 모양 많수다	1
도전한자는 멋지다^^	1
난 남잔데 설현보다 송중기 멋진 모습 보는게 더 좋더라...암낫게이	1
한화에서 유일하게 관리받는분 송은범 ㅋㅋㅋㅋㅋㅋ	1
신선하다 그리고 지루하지 않아 보면서 힐링이 되는 기분이다..	1
나라를 구한다는게 이런거지...	1
아 막판에 ses컨셉 콘서트보고 배꼽빠지는줄....	1
둘다 잘생겼으니까 인기있지 ㅋㅋㅋ	1
지금 생각하면 유익한 프로그램이었던듯	1
드라마화가 뭐 오나귀 가 좀 특별나게 재밌었지만 이것도 좀 재밋어요	1
이렇다 저렇다 기자들의 말이 많지만 무한도전 특유의 재미가 있으니 그냥 믿고 봅니다.	1
우리 서중원 변호사님 최고라지요!!	1
난 일단 비쥬얼 짱인 푸바	1
기사에 임신으로 두배의 기쁨이라니ㅠ	1
누가봐도 아버지와딸인데??ㅋㅋㅋㅋㅋㅋㅋ	1
미세먼지에 시달리다보니 장맛비 소식이 이렇게 반갑네요!!	1
하면서 보아스랑 비교하면서 재밌었는데 ㅋㅋㅋㅋ	1
기도하는 입보다 돕는 손이 더 이쁘다.	1
아 손호준만 보면 멜팅호준 떠올라 ㅋ	1
아이유 너무 예쁘고 사랑스러워요~	1
몰랐는데 훤칠하고 멋있음	1
박보검 진심으로 축하해요.	1
손흥민...토트넘의 승리...!	1
요즘 최고 잼나도 듀가 노래도 멋졌음	1
기사볼때마다 그냥 흐뭇하다 ㅋㅋㅋ	1
앞으로도 아이들의 건강한 웃음을 기대하겠습니다.	1
기부를 하는 본인이 더 행복하고 마음이 따뜻해진다는걸~~~^^	1
와 추카추카 작감배 다들 덕분에 드라마 잘 보고 있어요.	1
누나예뻐요ㄹㅇㄹㅇㄹㅇㄹㅇ	1
그동안 수고 많으셨습니다..	1
유용한 정보인듯 합니다~~^^	1
찬성하는 정책이다!	1
어제 나올 때마다 웃은듯ㅋㅋㅋㅋㅋㅋ	1
금연한 돈으로 기부까지 ^^	1
왠만하면 글 안 남기는데 정말 대단하세요 ♡	1
멀리서나마 응원하고있어요 ㅎㅎ	1
트럼프 각하 축하드립니다.	1
진짜 둘 보면 저절로 엄마미소가 지어진다ㅋ	1
그래도 이제 밤엔 션해서 좋아용	1
근데 피디는 개웃기다	1
참 괜찮네~	1
재미있을듯 권상우 정준하도 홧팅.	1
시체팔이 실패 개꿀잼 ㅋㅋㅋㅋ	1
남자크루 같았으면 snl 폐지하자고 난리부르스를 쳤을텐데ㅋㅋ	1
어제 재밌게봤는데	1
제가 하고싶었던걸 해주시니 가슴이 뻥 뚤리는 기분이네요	1
노래도 좋은데	1
특검,,, 확고한 의지가 엿보이네!!	1
신곡반갑네요ㆍ	1
꿀이로구나 둘이 붙어있는 씬 케미 최고	1
솔직히 안오니까 좋기만하다.	1
난 달이랑 태양보고 지구가 둥근줄 알았다 ㅋㅋㅋㅋㅋㅋ	1
아수라가 생각보다 재미가없엇고 럭키가 생각보다 너무 재밋어서 입소문으로 대박남ㅋㅋㅋ	1
진짜 존멋 개멋	1
솔직히 기분 좋다 ㅎㅎ	1
난 무도만의 콩트 되게 좋아요	1
추카드려요	1
여성분들 시청률이 꽤 놓은데 역사를 알고 보는 입장에서 너무 흥미진진합니다	1
넘어지는 장면은 진짜 혼자 시트콤찍는줄ㅋㅋㅋㅋ	1
기대보다 빨리 실현되어 너무나 행복하네요!!	1
보수의 해체를 축하한다	1
여름은 끝자락에 시원하고만~~	1
올해 한번 일내보자~~김성근 감독님, 오간도, 한화이글스 화이팅!!	1
그와중에 던파는 재밌더라	1
앗싸 꽃피는 춘삼월 좋은소식 대한민국 방방곡곡 울려퍼지겠네	1
앞으로도 좋은 배우가 되었으면 좋겠다.	1
얼마나 꿈같을까짝짝짝	1
육중완님이 성재 진짜 좋아하심ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
넥센 화이팅	1
저희집도 아이들과 소등했어요^^	1
엄정화 좋음.	1
새로운 역사의 시작을 준비해주세요!!	1
애기들 다행이다 ㅠㅠ	1
그래 김종민하나줘야지 축하합니다	1
그냥 감동이네요...	1
넘나재미씀	1
김건모 어머님 너무 잼나요	1
규현 화이팅♡	1
손나은 첫 등장할때 너무 예뻤음	1
대상 축하드려요.	1
멋지고 자랑스런 우리 국민!!	1
누나는 식빵구울때가 젤 머싯어요	1
와 다행이다!!!!!!	1
태극기 걸은 게 맘에 듭니다 !!!!	1
골 진짜 멋있게 들어갔다	1
그래도 인생드라마는 확정인듯	1
양세형 대상후보랑 숏터뷰 형식으로 얘기하는거 윳겨서 그거보고 껏다 ㅋㅋㅋㅋ	1
임신축하드려요.	1
맹뚜기 30초요리ㅋㅋㅋㅋ	1
아이돌중에서 미모 탑이다진짜!!	1
더블유 존잼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
ㅋㅋㅋㅋ크트는이원석안데려오길잘햇다ㅋㅋㅋ	1
완전 뿌듯 ~~	1
새미....너무귀엽네 ㅋㅋㅋㅋ	1
생활속의 작은 기쁨 ㅎㅎ0	1
옵파그러지말고한번더보자!!ㅎㅎ	1
이제 연말이네요~	1
면접 안보고 바로 최종합격은 아님?	1
국군장병전우들아 수고해요 ~ㅋ	1
아기엄마들의 전투육아 스토리를 이모티콘으로 만들어 봤어요.	1
애들 편도나 기관지 쪽에 좋은 제품들 주길래 혹 하는 맘에 해봤어요 ㅎㅎㅎ	1
그 여자애가 연예인을 좋아해서 전에 생일때도 앨범을 사줬는데 좋아하더라구요.	1
부산에 부릉부릉 갔는데~~ 해운대에~~바다보러가서~~맛나게 스파게티도 먹어주시구~~	1
일하면서들었는대커플탄생인거같드라ㅋㅋㅋㅋㅋㅋ	1
외모상으로 똑부러지고 야무질거같은 느낌드는 여자	1
어떻게 하다보니 운좋게?취업 안되면 오라는 회사 한군데를 알게되었는데요	1
나 말년휴가나왔다복귀하면 제대한다 ㅋㅋㅋㅋ	1
남중 남고를 지내왔던저에게디자인대학은 정말 꿈만같은 곳이었습니다.	1
오늘도 500원짜리 5개? 100원짜리 2개 주웠네 ~~~~	1
심장이 쿵쾅쿵쾅그날을잊을수가업ㅂ다.............	1
4월에 첫 출근한 인턴인데 5월 4일 샌드위치데이에 회사 쉰다고 하더라구요.ㅎㅎ	1
아침에 눈뜨자마자 ㅋㅋㅋ	1
근데발렌테인데이 때전 고급초콜릿이랑백화점에서 옷 사줬어요편지도 쓰고요.	1
다음주부터 사각턱이랑 광대 눈 상담받으러 상담투어 갑니다 ㅋㅋ	1
어차피 전 중국어를 공부할 생각이라 여기 신청했는데보니까 괜찮은 거 같아서 남겨 봅니다 ~!	1
아.. 아무튼 좋네요0	1
귀가따뜻핼.ㅎㅎ	1
다들 응원 열심히 해봐옹ㅎㅎ~~	1
제가 아직 취준생이라 돈은 별로 없어서 고민중이었는데지금 세일도 많이 한다고하더라구요	1
여긴 수수료도 안받더라구요 ㅋㅋ	1
지금은 22살 아기는 이제 돌 됐어요	1
꽃다발 하나 선물해 보세요^^~~	1
인맥도 환영합니다^^	1
교복은 진짜 얘만큼 잘어울리는애 없음	1
오늘은 치즈김밥 줘서덕분에 먹으면서 아침 맞이했다.	1
나처럼 지금 돌침대 누워있으니까 시원하기만 한데	1
빼고 다 내스탈이야넌 내꼬♥♥♥	1
천상여자 같은 느낌이야.	1
사진은 이뻐서ㅎ	1
내 자신이 대견해.	1
그걸 해줘야 릴렉스도 되구복근이 이쁘게 생긴단다 ㅋㅋ	1
우리 다 잘될거에요!	1
친추할게요!!	1
아 진짜 덕분에 오랫만에 실컷웃네요	1
지난 삼성전에 6실점하고 승리하신것 넘 추카추카 드리구요	1
우리모두에게  진정한 도움이되는 셰프님 - 국민셰프님  입니다.	1
반찬을 넘 쉽게 척척 만드시네요~	1
재밌고 늘 행복해진답니다	1
히히 안녕하세요	1
v오빤 언제나 저에겐 최고에요 , 오홍홍	1
그리고 대상 축하드립니다~~~~	1
오빠 아프다는 소식 듣고 눈앞이 캄캄 했는데 오늘 그 어둠이 조금이라도 사라졌어요	1
이따 예밤에서 뵈요!!	1
그래도 캐럿이라는 이름이 있는것만으로 만족합니다!	1
어제 너무 좋았습니다.	1
건강하시고... 행복하세요!!	1
ㅋㅋㅋㅋㅋㅋ흑역사라 하긴 뭐한데 그 내가 쓴 댓글 보기 하는거 있잖아	1
상큼한 트레이닝복 화보 촬영중인 나나!	1
외모는 충분히 이쁘다..	1
제대해서 좋아~~~~	1
끝까지 응원한다 성운이!!	1
솔직히 한효주니까 여신인거지???	1
잔머리 하나는 진짜 갑인 것 같아요 ㅋㅋㅋ	1
4개월쫌 넘은 아기입니다~	1
이러는데너무 귀여워 죽겟닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
노래도 좋고0	1
세븐틴이랑 정한님께 조공을 바치며 살아가겠습니다...	1
TV에서 자주 뵙는데 멋지십니다	1
너무너무 좋다	1
오늘 대박 세일가로 스틱 분유 사가지고 왔어요.	1
이것도 아무말대잔친데 기분 요상하지 ?? ㅋㅋㅋㅋㅋㅋ	1
키디 맥시프로로 제주도 여행 계획중입니다	1
결과적으로 여친이 한번 눈 감아준답니다.	1
수고가 많으시네요...다비드상 참멋있어요....그배..참..멋져요..!!!앞으로..	1
멋진 백주부님!	1
정말 오랫만에 연아선수의 아름다운 연기를 볼수있게 되어서 정말 기뻤어요.	1
메리크리스마스!!!!~      ㅋ	1
오빠의 행동하나하나가우리에게 즐거움을 주네요.	1
생일 맞으신거 정말 진심으로 추카드려요.	1
><!오빠 감정 최고에요	1
너무 훌륭했어요!!!	1
제가 여기동호회에 재현오빠 클럽을 만들었거든요..	1
서로 의식하게 되고 좋아하게 된 시기가 겹쳐서 너무 신기해요	1
궁금해서 여기 눈팅하고있는데 이거 너무 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
