대사	라벨
기상이 좋지 않아도 바닷속에 들어가 전복을 땁니다.	1
또 공부를 위해 유씨 어바인에서 연수도 고려중인 것으로 알려졌다.	1
조명 효과로 그려진 분위기는 훌륭했다.	1
항아리에서는 물건이 계속 나왔어요.	1
내 행동에 얕보던 사람들이 충격을 받았다.	1
예술가를 겸한 임금은 공민왕 한 분일 것이다.	1
숲에서 나무를 잘라 식탁과 의자를 만들었다.	1
누님이 기뻐하시니 저도 만족합니다.	1
나뭇잎만 바시락 해도 가슴이 뛰었다.	1
이런 쓰레기로 자유의 여신상을 만든다고요?	1
정의를 위하여 싸우자!	1
그 샘은 아마 바위틈을 흐르는 샘물인 듯하다.	1
저널리즘은 그의 훌륭한 생명이다.	1
그는 비명 소리를 듣고선 그녀를 구해주었습니다.	1
도둑질을 하던 사람은 바지가 찢겨서 도망갔습니다.	1
귀국 사실을 알리지 않은 것으로 알려졌다.	1
아동 세계는 아름다운 시의 낙원이다.	1
그것이 정말입니까?	1
다른 동물들은 깊은 감명을 받은 듯했습니다.	1
스님들의 독경 소리가 신선의 노래 같았다.	1
눈 깜짝할 동안에 들어가 없어지고 말았습니다.	1
이긴 귀뚜라미는 으스대며 암컷 주위를 빙글빙글 돌았습니다.	1
연못 구석에 사슴이 만든 구멍이 뚫려있다.	1
그녀는 그사이 재빨리 물웅덩이로 갔습니다.	1
벽은 황금 램프의 빛으로 빛나고 있습니다.	1
고심작을 볼 때 자연히 머리가 숙여졌다.	1
요정은 소원대로 멋진 궁전을 만들어 주었습니다.	1
현재 회원 십삼만 명을 돌파했다.	1
문화의 발달에는 눈을 크게 할밖에는 도리가 없었다.	1
원재료를 파니 필수적인 기반을 갖고 있군요.	1
벽과 마루는 램프로 빛나고 있었다.	1
분필을 집어든 다음 아주 커다란 글씨로 쓰셨습니다.	1
밑져야 본전이라는 생각으로 사람들에게 묻기 시작했습니다.	1
시에라는 서로 연결된 산이라는 에스파냐어입니다.	1
이런 달의 모양 변화는 이십구 점 오 일마다 반복되지요.	1
무거운 돌덩이들을 짜맞추어 이런 석굴을 만들었을까?	1
저희는 불국사가 보고 싶어 먼 길을 왔답니다.	1
지독한 폐렴이 약으로 치료가 되었다.	1
직접 우주로 나가 보기도 한 거야.	1
스마트폰으로 사진도 찍고 음악도 듣는다.	1
조그만 혼들이 창칼을 들고 나왔다.	1
깨지지 않던 알이 도움을 받아 깨졌어요.	1
노령인구 대비에 요양병원 병상이 훨씬 많다.	1
여왕과 왕이 연이어 머물렀던 방이었다.	1
세 처녀의 눈에서는 광채가 돌았다.	1
어떻게 세상 일을 잘 아는지 탄복하였다.	1
그 꽃 혼들이 죽였구나!	1
캥거루는 아이를 배주머니에 넣어서 키운단다.	1
아주 중요하고 새로운 의제가 논의될 것으로 보인다.	1
모래를 모래주머니에 채우고 음식물을 으깨 소화시킨단다.	1
주전으로도 손색없으나 중간 투입도 효과적일 것이다.	1
잃어버렸던 염소가 다시 돌아왔습니다.	1
그들이 남보다 더 앞서서 싸운 것은 물론입니다.	1
백작은 그만큼 큰 힘을 가졌어.	1
들키지 않고 주방으로 갔다.	1
눈이 부시게 빛나는 아름다운 황금 왕관입니다.	1
별은 땅에, 태양은 바다에 몰려올 것입니다.	1
무거운 짐을 한 번에 들어 올렸어요.	1
아침 햇살보다도 더 씩씩한 용기를 내자!	1
소녀는 잊어버리지 않으려 적고 있습니다.	1
정말로 꿈은 아니겠지?	1
대중을 먹이면서 모았던 예수를 우러러본다.	1
편하게 타기 위해 원래 크기보다 일정 비율 축소 되어있어요.	1
백성을 사랑하며 나라를 잘 다스리었다.	1
전직 대통령들 보다도 훨씬 많다.	1
음식은 침과 섞여 식도를 거쳐 위로 내려가요.	1
아라비아의 어느 왕국이었다.	1
숯이란 얄궂은 물건이다.	1
국왕 다음으로 많은 군사를 가졌다.	1
우주에 나갔을 때 몸을 보호할 수 있도록 발명했다.	1
아직도 손이 떨리고 가슴이 쿵덕쿵덕 뜁니다.	1
아마존은 세계에서 가장 큰 숲이에요.	1
후면은 직선으로 꺾인 특유의 테일램프가 눈에 띈다.	1
아이들이 뛰노는 연못을 알고 있어.	1
그의 문 강변의 활달한 작풍은 압권이었다.	1
호랑이가 어슬렁어슬렁 걸으며 말했습니다.	1
그렇다면 어떻게 해야 합니까?	1
도착하니 사람들이 모여 환영회를 열어 주었습니다.	1
달은 지구를 맴돌면서 빛을 내고 있어요.	1
꽤 음악적인 소리다.	1
금강산의 회화적 요리에서 출중한 작가라고 하겠다.	1
영국의 과학자 뉴턴이 중력을 처음 발견했어요.	1
저렇게 굉장한 램프는 그녀의 것인가요?	1
옛날부터 에밀레종이라고 불러 왔단다.	1
독일의 기초를 세운 임금이었습니다.	1
보면 볼수록 그녀는 사람을 취하게 하였다.	1
두 시간을 걸어가자 엄청난 것이 버티고 서 있었습니다.	1
에너지의 효율을 높여나가는 방법이지요.	1
그은 모래톱의 얕은 곳을 따라 마을까지 헤엄쳐 갔다.	1
이 공장에는 수십 대의 지게차와 트럭이 드나든다.	1
마음에 불만없이 장래를 축복하면서 깨끗이 헤어졌다.	1
순식간에 일어나므로 눈을 크게 떠야 해요.	1
현명한 입법관이 연구해야 명문이 될 게 아닙니까?	1
큰 오아시스는 십만 명의 사람이 살 만큼 넓다.	1
비가 필요했던 서해오도의 강수량은 오에서 이십밀리미터로 예측된다.	1
어느 잡초 틈에서도 윤이 흐르고 살쪘다.	1
늑대의 크고 뾰족한 이빨은 어금니야.	1
사마귀는 먼저 상대방의 목을 공격합니다.	1
앵콜을 거듭한 인기는 그야말로 하늘을 찌를듯싶었다.	1
성에 대한 적의는 사랑의 가능성을 때려 부숴 왔다.	1
지난해엔 프로기사 두세명이 해주던 것을 에이아이가 대신하고 있는 것이다.	1
얼음이 담겨 음료를 차갑게 마시도록 만든 제품이다.	1
수많은 낱눈이 벌집 모양으로 모인 겹눈을 갖고 있어요.	1
당신의 상점이 이 나라에서 제일입니다.	1
그가 존재감을 강렬히 알린 무대는 첫 엠티였다.	1
참 훌륭한 댁이군요.	1
영문학 중에서도 드문 아름다운 산문이다.	1
호텔에서 수제맥주 열풍이 시작된 것은 이년 전부터다.	1
위태롭던 그때 같은 편의 군인들이 몰려왔습니다.	1
별은 스스로 반짝반짝 밝은 빛을 내요.	1
성장한 그녀는 새 노래를 우리에게 던지었다.	1
옆 카페트 위에 선장이 앉아있었다.	1
인간은 선한 행동을 위해 산다는 것을 새겨두시죠.	1
듣는 이가 모두 놀랐다.	1
꿈이 이렇게 유쾌한 세계였던가!	1
가뭄이 들지 않게 비를 내렸습니다.	1
캡사이신은 고추씨에 가장 많이 들어 있어.	1
밤중에 들어온 일은 천만 번 사죄받았다.	1
대머리 유전자가 없어서 다행이야!	1
그의 삽화를 대할 땐 미소 짓기도 한다.	1
다른 어느 누구도 그런 것을 쓸 수가 없어.	1
아직도 젊은이를 능가합니다.	1
그리운 어머니 품에나 안긴 기쁨이었습니다.	1
짱구는 의사의 손에서 얼마의 온미를 깨달았다.	1
들어오다가 매우 좋은 것을 얻었어요.	1
뱉는 듯이 던지고 밖으로 나간다.	1
얼마나 부르기 좋은 이름이냐.	1
미술관에는 조각품이 많아 가보시면 괜찮을 거예요.	1
짜릿하고 시원하게, 워터 어트랙션!	1
다소곳하니 춤을 다 못 출 것이다.	1
어린이들이 우포늪에서 새를 관찰하고 있어요.	1
창조한 세계를 손 위에 올려놓고 만족하였다.	1
회견의 결과가 만족하기 때문에 그의 마음은 더욱 가벼웠다.	1
배운 건 좋은 의미의 풍속 세태의 문학적 가치다.	1
덩굴은 줄을 타고 올라갔고 완두콩이 열렸습니다.	1
억지로라도 모두 일어나는 것이었습니다.	1
티켓이 무효로 돼도 아깝지 않다고 생각했다.	1
그의 마음은 한껏 흡족하였다.	1
조각 방면은 정물보다도 동물이 더 좋습니다.	1
부서의 사람 모두가 아주 마음에 들어.	1
근본적인 원인을 찾아 해결했다.	1
지진 감지계가 있어 다행이야.	1
나무꾼의 청에 나무꾼을 따라 나섰다.	1
신어보고 싶었는데 신게 되어 기뻤다.	1
음식을 데울 수 있는 전자레인지도 있지.	1
결혼 승낙을 얻게 되었다.	1
방해를 감쪽같이 번복시켜 그는 만족을 하였다.	1
저걸 글쎄 누이가 가져왔구만.	1
평생 남을 도우며 살았다.	1
마침내 방법을 생각해 내었습니다.	1
아름다운 국화를 뽑으려던 손을 막았다.	1
그돈으로는 넉넉히 5년간의 공부가 가능하다.	1
북쪽에서 불어오는 바람만이 추울 뿐이었습니다.	1
후한 연기료에 배우들은 실감나게 연기했다.	1
이 묘한 표정을 누님은 흡족해 하였다.	1
그는 대충 왕의 말을 알아들을 수 있었습니다.	1
조선 사람 대부분은 가정소설을 좋아해줘요.	1
어두워서 못 보았지만 그쯤 했으면 하룻밤은 쓸만하지.	1
잃어버린 립스틱을 화장대 밑에서 찾았다.	1
웬 돈이 있어 이렇게 호사를 하고 치레를 했어.	1
그가 손뼉을 칠 정도로 흡족해한다.	1
부부의 행복한 모습을 보고 있으니 부족함이 없었다.	1
검찰은 혐의를 정확하게 수사하고 있다.	1
서리를 밟는 감촉이 너무나도 좋다.	1
모든 야외활동에 가능하고 디자인도 뛰어나다.	1
노끈을 매어서 잡아당기니까 구슬이 훌륭하게 꿰어졌습니다.	1
완도와 제주도를 잇는 여객선은 정상 운항 중이다.	1
아주 착실한 부인이야.	1
정의는 이긴다는 것을 오늘에서야 알았지?	1
유효 슈팅을 성공하여 박수갈채가 터져나왔다.	1
저절로 소름이 끼치도록 무시무시한 방이었습니다.	1
기쁨을 감출 길이 없는가 보다.	1
어딘지 모르지만 통쾌하다는 느낌이 섞여 있는 기분이었다.	1
병을 없앨 수 있는 약을 얻어 기쁘다.	1
전날 특검은 자신감을 보인 바 있다.	1
먹읍시다.	1
다른 이들을 즐겁게 해주기 위해 노력했어.	1
염려해주신 보람으로 백성들이 다퉈가며 헌납하고 있습니다.	1
지휘경험, 전투경험이 없는 장교가 퇴출 일순위였기 때문에 안심했다.	1
그녀가 자라자 원하는 대학에 그녀를 보내주었어요.	1
박사의 공이 커 결과가 만족스럽다.	1
어느 쪽으로 쳐지지 않고 잘 운항하고 있군!	1
차도 그의 마음을 알아주는 듯 스피드를 높이고 있다.	1
아버지도 좋아하실 겁니다.	1
바깥쪽으로 자석이 반쯤 나오도록 테이프로 붙였어요.	1
엉긴 두부를 틀에 넣고 물을 빼면 완성돼요.	1
잠자던 소년은 귀뚜라미가 방 안에 있어서 잡았습니다.	1
조선 사람으로서는 이해하기 쉬웠다.	1
음악회라면 학생들의 연주회에도 빠지지 않고 다녔다.	1
웃음 섞어 이야기하고 밥을 먹고 잤다.	1
기쁜 얼굴로 끓는 납을 붓는 것입니다.	1
친구가 이 멋진 작품을 만든게 분명해!	1
먹어본 물 중에서 가장 맛이 좋았습니다.	1
후반 사십사 분에 회심의 슛을 성공했습니다.	1
한 무리씩 밀려와서는 옷소매 치맛자락을 펄럭이며 뽕을 따갔다.	1
온 세상을 얻은 것처럼 기뻐했다.	1
옛 시청과 경남도청은 한자 모양으로 지어졌다.	1
만족하여 달려간다.	1
이발사가 남편의 턱수염을 깔끔하게 깎아주었습니다.	1
액티비티 최저가 보상제로 기분 좋게 예약했다.	1
오늘이야말로 고기가 많이 잡혔나보다.	1
탁자가 놓여 있고 양초가 유리병에 꽂혀 있었다.	1
설날 분홍 두루마기를 새로 해 입었었다.	1
총 육백킬로그램 분량을 확보하였다.	1
밤이여, 어서 와다오!	1
개들은 양껏 뜯어먹었습니다.	1
삶이라는 강이 흐르고 있는 한, 언제나 같은 강입니다.	1
여기에 스포티한 느낌을 강조한다.	1
유엔에서 드디어 이란의 핵개발 문제를 언급했다.	1
어릿광대 덕으로 그녀가 몹시 좋아하는 것을 보고 기뻐했다.	1
노파는 대답을 듣고 안심하고 마을로 내려갔습니다.	1
구두를 신지 말라는 할머니의 말을 따랐다.	1
꿩도 먹고 알도 먹는 것이죠 이것이 곧 합리적인 투자입니다.	1
나는 괜찮습니다.	1
손뼉을 치고 뛰면서 기뻐하였습니다.	1
모두 저를 향해 손을 흔들며 인사해주었습니다.	1
두포를 쉽사리 잡은 것이 신이 납니다.	1
부동산대책을 계기로 청약가점제 적용 범위가 확대되었다.	1
관청 장축들과 교제한다는 것은 그에겐 기쁨이다.	1
다른 사람들은 모르는 것이 섭섭했지만 통쾌하였다.	1
걸상에서 일어서는 그의 얼굴에는 기쁨과 감격이 넘쳐흘렀다.	1
마음이 편한 곳으로 가더니 만족한 표정을 지었다.	1
멋있는 모자를 살짝 들어 얹어.	1
두 후보의 지지율 차이가 거의 없는 것으로 조사되었다.	1
주의조차 받지 않고 돌아가게 되어 축하하였다.	1
그냥 두는 게 나을걸.	1
야외 공연 티켓팅을 간발의 차로 성공하였다.	1
밤에 길에서 별을 보았다.	1
영구히 벗지 못할 악명을 쓰고도 만족하였다.	1
다양한 정보를 얻을 수 있어요.	1
무상 급식을 실시하겠다고 했다.	1
최초의 희생이 되어도 만족하려고 한다.	1
호젓한 행복에 잠기는 듯한 기쁨이 느껴졌다.	1
손님은 구두 수선공의 수선을 만족해하며 돌아갔습니다.	1
가슴을 졸이고 있던 그녀까지 구원받은 듯하여 한숨을 내쉬었다.	1
얼음 동화와 라틴 축제의 러닝 타임은 길지 않았다.	1
밤 늦게까지 걸려 겨우 한 마리의 쥐를 조각해 냈습니다.	1
